Id,Designator,Package,Quantity,Designation,Supplier and ref,
1,"C8,C7",C_0603,2,10p,done,
2,Y1,Crystal_SMD_SeikoEpson_FA238-4pin_3.2x2.5mm,1,16M,done,
3,"D9,D1,D3,D5,D7,D11,D13,D15,D19,D20",DIOM5025X231N,10,D,done,
4,"C1,C2",CP_Elec_6.3x7.7,2,100u Elko,done,
5,"C5,C6,C9,C10,C11,C12,C13",C_0603,7,100n,done,
6,C14,C_0603,1,1u,done,
7,C15,C_0603,1,10n,done,
8,"D2,D4,D6,D8,D10,D12,D14,D16,D21,D22",SOT-23,10,D_Zener,done,wrong fp
9,D17,SOT-323_SC-70,1,D_TVS_x2_AAC,done,
10,D18,D_SOD-123,1,D,done,
11,H1,SAMTEC_SSQ-126-22-G-D,1,OIBUS_104.1_CONN_A,,
12,H2,SAMTEC_SSQ-126-22-G-D,1,OIBUS_104.1_CONN_B,,
13,"H3,H4,H5,H6",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,,
14,J1,Pin_Header_Angled_1x06_Pitch2.54mm,1,SWD,,
15,J2,Pin_Header_Angled_1x02_Pitch2.54mm,1,UART,,
16,"J4,J5,J6,J7,J8,J9,J10,J11,J12,J13",SHDR2W80P0X381_1X2_900X920X725P,10,+,,
17,"JP1,JP2",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,2,SolderJumper_3_Open,,
18,"JP3,JP5,JP9,JP10,JP11,JP12",R_0603,6,SolderJumper_2_Open,,
19,"JP21,JP22,JP23,JP24,JP25,JP26,JP27,JP28,JP29",R_0603,9,0 OHM,,
20,L1,L_0805,1,10uH,done,
21,"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11",LED_0603,11,LED,done,
22,"R1,R3,R5,R7,R9,R11,R13,R15,R28,R29",R_0603,10,4K7,done,
23,"R2,R4,R6,R8,R10,R12,R14,R16,R30,R31",R_0603,10,18K,done,20k
24,"R17,R18,R19,R20,R21,R22,R23,R24,R32,R33",R_0603,10,1K5,done,
25,"R25,R26",R_1206,2,60,done,
26,R27,R_0603,1,330,done,
27,"T1,T2,T3,T4,T5,T6,T7,T8,T9,T10",SOT95P280X90-6N,10,DMG6402LVT,done,
28,"U1,U2,U3,U4,U5,U6,U7,U8,U11,U12",SMDIP-4_W7.62mm,10,TLP291,done,
29,U9,SOT-23-8,1,TCAN330,done,
30,U10,LQFP-48_7x7mm_P0.5mm,1,STM32F303CCTx,done,
31,J3,MOLEX_172310-1202,1,"5V - 24V, Molex Ultrafit",,
32,"FID1,FID2",Fiducial_1mm_Dia_2mm_Outer,2,Fiducial,,
33,"JP4,JP6,JP7,JP8,JP13,JP14,JP15,JP16",R_0603_1608Metric,8,0 OHM,,
34,G***,octanis_instruments_logo,1,LOGO,,
